subjID,DayInSecondsStart,DayInSecondsEnd,DayInSecondsDur,clockTimeStart,clockTimeEnd,recTimeStart,recTimeEnd,recClockStart,recClockEnd,recOnSeconds,recOnPeriod,recIdStart,recIdEnd,segAvgdB,segPeakdB,adultWordCnt,femaleAdultWordCnt,maleAdultWordCnt,femaleAdultSpeechScnds,maleAdultSpeechScnds,femaleAdultNonspeechScnds,maleAdultNonspeechScnds,childUttCnt,childUttLenScnds,childUttScnds,childCryScnds,childVfxScnds,convTurnCount,convTurnInitiateScnds,convTurnRespondScnds,convTurnExtendScnds,MAN,MAF,FAN,FAF,CHN,CHF,CXN,CXF,NON,NOF,OLN,OLF,TVN,TVF,SIL,OFF,roll.key,timezone,dateMidnight_epoch,epochTimeStart,epochTimeEnd,dateTimeStart_UTC,dateTimeEnd_UTC,Bin.Mins,id,session,clock_time_start,clock_time_end,nap_time,sit_time,held_time,prone_time,supine_time,upright_time,age
lena,37800,38399,600,10:30:00,10:39:59,3406,4005,00:56:46,01:06:45,600,00:10:00,1,1,-33.2303923333333,-2.06,330.74,328.04,2.7,80.32,1.12,1.8,0,61,56.3249438202247,54.34,12.1,13.87,14,17.08,14.02,11.74,1.12,1.84,82.12,12.28,98.59,2.54,103.56,7.47,68.93,82.43,88.3,14.75,0.87,0,35.2,0,1,America/Los_Angeles,1617087600,1617125400,1617125999,2021-03-30T17:30:00Z,2021-03-30T17:39:59Z,10,99,8,2021-03-30T17:30:00Z,2021-03-30T17:39:59Z,0,0.13043478260869565,0.006688963210702341,0.18394648829431437,0.13712374581939799,0.5418060200668896,11
lena,38100,38699,600,10:35:00,10:44:59,3706,4305,01:01:46,01:11:45,600,00:10:00,1,1,-34.0549123333333,-2.31,499.93,499.93,0,120.67,0,2.82,0,55,51.66,50.39,7.31,11.81,24,35.18,31.8,13.78,0,0.8,123.49,16.2,84.35,4.2,43.53,13.25,43.5,138.59,67.6,19.6,1.87,0,43.02,0,2,America/Los_Angeles,1617087600,1617125700,1617126299,2021-03-30T17:35:00Z,2021-03-30T17:44:59Z,10,99,8,2021-03-30T17:35:00Z,2021-03-30T17:44:59Z,0,0.22408026755852842,0.16387959866220736,0.22742474916387959,0.13712374581939799,0.24749163879598662,11
lena,38400,38999,600,10:40:00,10:49:59,4006,4605,01:06:46,01:16:45,600,00:10:00,1,1,-33.3453728333333,-1.08,471.3,464.11,7.19,108.99,1.31,1.02,0,73,60.8674091209518,58.95,12.16,14.19,25,33.53,36.77,6.01,1.31,1,110.01,13.26,93.07,12.3,46.46,14.84,41.81,176.49,50.47,18.55,1,1.07,18.36,0,1,America/Los_Angeles,1617087600,1617126000,1617126599,2021-03-30T17:40:00Z,2021-03-30T17:49:59Z,10,99,8,2021-03-30T17:40:00Z,2021-03-30T17:49:59Z,0,0.3879598662207358,0.2140468227424749,0.10702341137123746,0.09364548494983277,0.19732441471571907,11
lena,38700,39299,600,10:45:00,10:54:59,4306,4905,01:11:46,01:21:45,600,00:10:00,1,1,-34.2324173333333,-1.08,288.44,281.25,7.19,66.49,1.31,1.01,0,59,47.73,45.78,9.6,9.58,13,12.74,18.57,2.99,1.31,2.21,67.5,19.36,70.83,10.81,64.11,7.91,37.78,213.5,49.91,18.74,0,2.91,33.12,0,2,America/Los_Angeles,1617087600,1617126300,1617126899,2021-03-30T17:45:00Z,2021-03-30T17:54:59Z,10,99,8,2021-03-30T17:45:00Z,2021-03-30T17:54:59Z,0,0.30434782608695654,0.07357859531772576,0.26421404682274247,0.09364548494983277,0.26421404682274247,11
lena,39000,39599,600,10:50:00,10:59:59,4606,5205,01:16:46,01:26:45,600,00:10:00,1,1,-35.1200611666667,-1.33,406.83,396.18,10.65,94.24,3.4,2.02,0,32,25.3576470588235,24.58,9.31,2.96,6,5.32,9.13,0.6,3.4,2.83,96.26,28.57,46.74,2.38,72.01,14.49,17.96,196.86,44.71,26.72,2.58,2.65,41.84,0,1,America/Los_Angeles,1617087600,1617126600,1617127199,2021-03-30T17:50:00Z,2021-03-30T17:59:59Z,10,99,8,2021-03-30T17:50:00Z,2021-03-30T17:59:59Z,0,0.17725752508361203,0.1605351170568562,0.40468227424749165,0,0.25752508361204013,11
lena,39300,39899,600,10:55:00,11:04:59,4906,5505,01:21:46,01:31:45,600,00:10:00,1,1,-35.2665663333333,-2.06,439,420.82,18.18,98.03,4.58,2.15,0,16,10.31,10.07,10.8,1.12,4,4.25,10.82,1.2,4.58,8.7,100.18,34.02,28.72,2.21,69.75,24.03,11.07,151.32,62.85,37.17,2.58,14.54,48.28,0,2,America/Los_Angeles,1617087600,1617126900,1617127499,2021-03-30T17:55:00Z,2021-03-30T18:04:59Z,10,99,8,2021-03-30T17:55:00Z,2021-03-30T18:04:59Z,0,0.19063545150501673,0.15719063545150502,0.4214046822742475,0,0.23076923076923078,11
lena,39600,40199,600,11:00:00,11:09:59,5206,5805,01:26:46,01:36:45,600,00:10:00,1,1,-35.0086813333333,-0.38,178.29,170.76,7.53000000000001,42.06,1.18,1.14,0,16,12.74,12.21,2.5,2.61,2,2.36,6.76,0.6,1.18,8.88,43.2,24.36,19.43,3.89,77.44,20.48,11.33,224.94,63.07,32.56,2.22,13.73,53.29,0,1,America/Los_Angeles,1617087600,1617127200,1617127799,2021-03-30T18:00:00Z,2021-03-30T18:09:59Z,10,99,8,2021-03-30T18:00:00Z,2021-03-30T18:09:59Z,0,0.21739130434782608,0.013377926421404682,0.41471571906354515,0,0.35451505016722407,11
lena,39900,40499,600,11:05:00,11:14:59,5506,6105,01:31:46,01:41:45,600,00:10:00,1,1,-34.3336391666667,-0.38,189.68390438247,175.57390438247,14.11,40.23,2.65,0,0,33,23.86,22.35,3.8,6.19,6,7.44,5.74,1.09,2.65,3.38,40.23,16.17,34.72,6.42,131.38,12.86,10.33,207.21,64.27,23.05,4.22,0,43.11,0,2,America/Los_Angeles,1617087600,1617127500,1617128099,2021-03-30T18:05:00Z,2021-03-30T18:14:59Z,10,99,8,2021-03-30T18:05:00Z,2021-03-30T18:14:59Z,0,0.24414715719063546,0.006688963210702341,0.24414715719063546,0.013377926421404682,0.4916387959866221,11
lena,40200,40799,600,11:10:00,11:19:59,5806,6405,01:36:46,01:46:45,600,00:10:00,1,1,-34.1798345,-2.19,571.11,526.3,44.81,123.21,6.91,1,0,35,22.75,21.48,7.45,5.75,10,16.75,10.11,5.09,6.91,3.58,124.21,29.6,42.03,4.93,137.29,11.09,15.5,77.34,96.16,19.39,4.03,0.51,27.43,0,1,America/Los_Angeles,1617087600,1617127800,1617128399,2021-03-30T18:10:00Z,2021-03-30T18:19:59Z,10,99,8,2021-03-30T18:10:00Z,2021-03-30T18:19:59Z,0,0.30434782608695654,0.013377926421404682,0.10367892976588629,0.013377926421404682,0.5652173913043478,11
lena,40500,41099,600,11:15:00,11:24:59,6106,6705,01:41:46,01:51:45,600,00:10:00,1,1,-33.5304968333333,-1.77,925.392998272397,868.632998272397,56.76,213.49,9.46,2.33,0,10,6.23,5.94,5.39,2.66,5,9.95,5.44,4,9.46,2,215.82,40.22,20.1,0.8,92.58,20.83,17.44,52.4,96.61,13.4,2.03,2.25,14.06,0,2,America/Los_Angeles,1617087600,1617128100,1617128699,2021-03-30T18:15:00Z,2021-03-30T18:24:59Z,10,99,8,2021-03-30T18:15:00Z,2021-03-30T18:24:59Z,0,0.23411371237458195,0.006688963210702341,0.056856187290969896,0,0.7023411371237458,11
